2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=18
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=2
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=3
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=10
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=16
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=2
2020-03-07 18:13:31,104 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=11
2020-03-07 18:13:31,120 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=23
2020-03-07 18:13:31,120 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2020-03-07 18:13:31,120 [main] INFO  marytts.PStream Global variance optimization
2020-03-07 18:13:31,120 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=18
2020-03-07 18:13:31,120 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2020-03-07 18:13:31,120 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=9
2020-03-07 18:13:31,120 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=83
2020-03-07 18:13:31,120 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=5
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1 Request processed in 63 ms.
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    TextToMaryXML took 0 ms
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    JTokeniser took 0 ms
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    Preprocess took 0 ms
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    OpenNLPPosTagger took 0 ms
2020-03-07 18:13:31,167 [main] INFO  marytts.R 1    JPhonemiser took 0 ms
